Time(s)	TrafficType	Size(Bytes)
3.57008	ftp	536	
3.5748	ftp	536	
3.57952	ftp	536	
3.5819	video	243	
3.58275	video	52	
3.58376	video	73	
3.58848	ftp	536	
3.5932	ftp	536	
3.59792	ftp	536	
3.60036	video	250	
3.60114	video	44	
3.60275	gaming	147	
3.60747	ftp	536	
3.61219	ftp	536	
3.61308	video	57	
3.6178	ftp	536	
3.62252	ftp	536	
3.62359	video	80	
3.62456	video	67	
3.62535	video	45	
3.63007	ftp	536	
3.63479	ftp	536	
3.63722	video	250	
3.63803	video	47	
3.64275	ftp	536	
3.64747	ftp	536	
3.64828	video	47	
3.65011	video	175	
3.65099	video	56	
3.65571	ftp	536	
3.66043	ftp	536	
3.66515	ftp	536	
3.6666	gaming	127	
3.66874	video	214	
3.66979	video	77	
3.67057	video	44	
3.67529	ftp	536	
3.68001	ftp	536	
3.68473	ftp	536	
3.68945	ftp	536	
3.69158	video	212	
3.6963	ftp	536	
3.69746	video	91	
3.70218	ftp	536	
3.7069	ftp	536	
3.71162	ftp	536	
3.71634	ftp	536	
3.72106	ftp	536	
3.72239	gaming	112	
3.72294	voip	15	
3.72766	ftp	536	
3.73238	ftp	536	
3.7371	ftp	536	
3.74182	ftp	536	
3.74654	ftp	536	
3.75126	ftp	536	
3.75598	ftp	536	
3.7607	ftp	536	
3.76542	ftp	536	
3.77014	ftp	536	
3.77486	ftp	536	
3.77958	ftp	536	
3.78117	gaming	145	
3.78589	ftp	536	
3.79061	ftp	536	
3.79137	video	41	
3.79264	video	105	
3.79345	video	47	
3.79817	ftp	536	
3.80289	ftp	536	
3.80384	video	65	
3.80463	video	44	
3.80935	ftp	536	
3.81407	ftp	536	
3.81491	video	51	
3.81963	ftp	536	
3.82435	ftp	536	
3.82907	ftp	536	
3.83021	video	89	
3.83493	ftp	536	
3.83965	ftp	536	
3.84045	video	46	
3.84288	video	250	
3.84392	video	75	
3.84864	ftp	536	
3.85336	ftp	536	
3.85579	video	250	
3.8566	video	48	
3.85754	video	63	
3.85975	video	222	
3.86101	video	104	
3.86179	video	43	
3.86258	video	45	
3.8673	ftp	536	
3.87202	ftp	536	
3.87674	ftp	536	
3.87843	gaming	157	
3.87898	voip	15	
3.87997	video	70	
3.88091	video	63	
3.88184	video	63	
3.88656	ftp	536	
3.89128	ftp	536	
3.896	ftp	536	
3.90072	ftp	536	
3.90544	ftp	536	
3.91016	ftp	536	
3.91488	ftp	536	
3.91604	gaming	90	
3.92076	ftp	536	
3.92548	ftp	536	
3.9302	ftp	536	
3.93492	ftp	536	
3.93964	ftp	536	
3.94436	ftp	536	
3.94908	ftp	536	
3.9538	ftp	536	
3.95852	ftp	536	
3.96324	ftp	536	
3.96796	ftp	536	
3.97268	ftp	536	
3.9774	ftp	536	
3.98212	ftp	536	
3.98684	ftp	536	
3.98813	video	108	
3.98976	gaming	149	
3.99448	ftp	536	
3.9992	ftp	536	
4.00012	video	61	
4.00089	video	43	
4.00561	ftp	536	
4.01033	ftp	536	
4.01111	video	43	
4.01192	video	48	
4.01664	ftp	536	
4.02136	ftp	536	
4.02219	video	49	
4.02334	video	90	
4.02806	ftp	536	
4.03278	ftp	536	
4.03359	video	47	
4.03414	voip	15	
4.03886	ftp	536	
4.04358	ftp	536	
4.04438	video	46	
4.0452	video	48	
4.04676	gaming	141	
4.05148	ftp	536	
4.0562	ftp	536	
4.06092	ftp	536	
4.06172	video	47	
4.0632	video	130	
4.06792	ftp	536	
4.06879	video	55	
4.06966	video	55	
4.07073	video	80	
4.07163	video	58	
4.07406	video	250	
4.07497	video	60	
4.07573	video	41	
4.0765	video	42	
4.07752	gaming	74	
4.08224	ftp	536	
4.08696	ftp	536	
4.09168	ftp	536	
4.0964	ftp	536	
4.10112	ftp	536	
4.10584	ftp	536	
4.11056	ftp	536	
4.11528	ftp	536	
4.12	ftp	536	
4.12472	ftp	536	
4.12944	ftp	536	
4.13416	ftp	536	
4.13888	ftp	536	
4.1436	ftp	536	
4.14832	ftp	536	
4.15304	ftp	536	
4.15434	gaming	108	
4.15906	ftp	536	
4.16378	ftp	536	
4.1685	ftp	536	
4.17322	ftp	536	
4.17794	ftp	536	
4.18266	ftp	536	
4.18738	ftp	536	
4.1921	ftp	536	
4.19682	ftp	536	
4.20154	ftp	536	
4.20209	voip	15	
4.20452	video	250	
4.20924	ftp	536	
4.21396	ftp	536	
4.21496	video	71	
4.21968	ftp	536	
4.2244	ftp	536	
4.22562	gaming	98	
4.22692	video	108	
4.22848	video	142	
4.22932	video	50	
4.23014	video	49	
4.23486	ftp	536	
4.23958	ftp	536	
4.2405	video	61	
4.24136	video	54	
4.24229	video	62	
4.24701	ftp	536	
4.25173	ftp	536	
4.25645	ftp	536	
4.25732	video	55	
4.25884	video	135	
4.26127	video	250	
4.26248	video	98	
4.26342	video	63	
4.2648	gaming	118	
4.26683	video	200	
4.26774	video	60	
4.26851	video	42	
4.27323	ftp	536	
4.27795	ftp	536	
4.28267	ftp	536	
4.28349	video	49	
4.28592	video	250	
4.28669	video	42	
4.29141	ftp	536	
4.2927	gaming	107	
4.29742	ftp	536	
4.30214	ftp	536	
4.30686	ftp	536	
4.31158	ftp	536	
4.3163	ftp	536	
4.32102	ftp	536	
4.32574	ftp	536	
4.33046	ftp	536	
4.33518	ftp	536	
4.3399	ftp	536	
4.34462	ftp	536	
4.34934	ftp	536	
4.35406	ftp	536	
4.35461	voip	15	
4.35933	ftp	536	
